[2026-01-28 18:38:50,885][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/config.json "HTTP/1.1 200 OK"
[2026-01-28 18:38:51,060][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-01-28 18:38:51,220][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/medgemma-4b-it/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-01-28 18:38:51,365][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/medgemma-4b-it/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-01-28 18:38:53,943][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/config.json "HTTP/1.1 200 OK"
[2026-01-28 18:38:55,135][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/generation_config.json "HTTP/1.1 200 OK"
[2026-01-28 18:38:55,286][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/medgemma-4b-it/resolve/main/custom_generate/generate.py "HTTP/1.1 404 Not Found"
[2026-01-28 18:38:55,570][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/huseyincavus/CoTLab_data/resolve/main/histopathology.tsv "HTTP/1.1 307 Temporary Redirect"
[2026-01-28 18:38:55,605][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/huseyincavus/CoTLab_data/217312378297954e6d29b93276f529345a20c2f2/histopathology.tsv "HTTP/1.1 200 OK"
